po_id,supplier,order_date,delivery_date,item_category,order_status,quantity,unit_price,negotiated_price,defective_units,compliance,lead_time_days,delivery_date_missing_flag,price_diff,defect_rate,quantity_outlier,unit_price_outlier,price_diff_outlier,defect_rate_outlier,any_outlier
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42.0,No,6.0,0,6.219999999999999,0.10687022900763359,False,False,False,False,False
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161.0,Yes,12.0,0,1.2100000000000009,0.10287539936102237,False,False,False,False,False
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,0.0,Yes,11.0,0,1.9100000000000001,0.0,False,False,False,False,False
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17.0,Yes,20.0,0,11.040000000000006,0.019883040935672516,False,False,False,False,False
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8.0,Yes,9.0,0,1.2899999999999991,0.01839080459770115,False,False,False,False,False
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187.0,Yes,17.0,0,10.790000000000006,0.14782608695652175,False,False,False,False,False
PO-00030,Epsilon_Group,2023-08-27,2023-09-07,MRO,Delivered,1005,80.55,73.31,30.0,Yes,11.0,1,7.239999999999995,0.029850746268656716,False,False,False,False,False
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,0.0,No,14.0,0,2.1800000000000015,0.0,False,False,False,False,False
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26.0,Yes,8.0,0,1.9800000000000004,0.02106969205834684,False,False,False,False,False
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19.0,Yes,16.0,0,3.450000000000003,0.03732809430255403,False,False,False,False,False
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27.0,Yes,1.0,0,5.0,0.01946647440519106,False,False,False,False,False
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0.0,Yes,8.0,0,3.210000000000001,0.0,False,False,False,False,False
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9.0,Yes,8.0,0,6.210000000000008,0.029801324503311258,False,False,False,False,False
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18.0,Yes,19.0,0,8.170000000000002,0.02258469259723965,False,False,False,False,False
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94.0,Yes,18.0,0,10.309999999999988,0.10375275938189846,False,False,False,False,False
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes,14.0,0,4.3799999999999955,0.030599755201958383,False,False,False,False,False
PO-00040,Epsilon_Group,2022-12-11,2022-12-22,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes,11.0,1,6.630000000000003,0.026717557251908396,False,False,False,False,False
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes,12.0,0,2.4200000000000017,0.08480565371024736,False,False,False,False,False
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No,9.0,0,3.269999999999996,0.060714285714285714,False,False,False,False,False
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes,8.0,0,5.469999999999999,0.04843304843304843,False,False,False,False,False
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes,7.0,0,6.479999999999997,0.030987734021949646,False,False,False,False,False
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes,18.0,0,2.9099999999999966,0.16421895861148197,False,False,False,False,False
PO-00046,Alpha_Inc,2022-12-19,2022-12-30,Electronics,Delivered,1025,21.11,19.25,15.0,Yes,11.0,1,1.8599999999999994,0.014634146341463415,False,False,False,False,False
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes,7.0,0,8.96,0.10290948275862069,False,False,False,False,False
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes,16.0,0,0.1800000000000015,0.016736401673640166,False,False,False,False,False
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes,19.0,0,6.3799999999999955,0.16583912611717974,False,False,False,False,False
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,0.0,Yes,10.0,0,2.969999999999999,0.0,False,False,False,False,False
PO-00052,Delta_Logistics,2022-05-08,2022-05-19,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes,11.0,1,1.2399999999999984,0.16666666666666666,False,False,False,False,False
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48.0,No,10.0,0,9.270000000000003,0.024628014366341714,False,False,False,False,False
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262.0,No,6.0,0,1.5100000000000051,0.1597560975609756,False,False,False,False,False
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136.0,Yes,18.0,0,7.609999999999992,0.10326499620349279,False,False,False,False,False
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30.0,Yes,2.0,0,5.890000000000001,0.0340522133938706,False,False,False,False,False
PO-00057,Delta_Logistics,2023-10-06,2023-10-17,Packaging,Delivered,1578,48.33,42.77,206.0,Yes,11.0,1,5.559999999999995,0.13054499366286437,False,False,False,False,False
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,0.0,Yes,5.0,0,3.8500000000000014,0.0,False,False,False,False,False
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,MRO,Pending,1558,93.46,91.27,39.0,Yes,16.0,0,2.1899999999999977,0.02503209242618742,False,False,False,False,False
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35.0,Yes,1.0,0,4.180000000000003,0.01849894291754757,False,False,False,False,False
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25.0,Yes,16.0,0,9.409999999999997,0.035919540229885055,False,False,False,False,False
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10.0,Yes,11.0,0,1.33,0.14285714285714285,False,False,False,False,False
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes,2.0,0,5.1200000000000045,0.0550561797752809,False,False,False,False,False
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5.0,Yes,16.0,0,1.6399999999999988,0.023148148148148147,False,False,False,False,False
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200.0,Yes,3.0,0,5.829999999999998,0.14847809948032664,False,False,False,False,False
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25.0,No,3.0,0,3.059999999999995,0.057208237986270026,False,False,False,False,False
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12.0,Yes,2.0,0,15.560000000000002,0.018461538461538463,False,False,True,False,True
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38.0,Yes,19.0,0,1.3999999999999986,0.10410958904109589,False,False,False,False,False
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9.0,Yes,8.0,0,11.680000000000007,0.030927835051546393,False,False,False,False,False
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,MRO,Cancelled,826,60.5,57.18,18.0,Yes,14.0,0,3.3200000000000003,0.021791767554479417,False,False,False,False,False
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,Electronics,Pending,1419,69.64,59.28,194.0,Yes,20.0,0,10.36,0.13671599718111346,False,False,False,False,False
PO-00073,Gamma_Co,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40.0,Yes,17.0,0,4.109999999999999,0.06514657980456026,False,False,False,False,False
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19.0,Yes,15.0,0,2.0,0.02006335797254488,False,False,False,False,False
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,0.0,Yes,19.0,0,0.8199999999999932,0.0,False,False,False,False,False
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36.0,Yes,20.0,0,12.699999999999989,0.025,False,False,False,False,False
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,0.0,No,4.0,0,2.08,0.0,False,False,False,False,False
PO-00079,Alpha_Inc,2022-08-03,2022-08-14,MRO,Delivered,1528,36.52,33.0,31.0,No,11.0,1,3.520000000000003,0.020287958115183247,False,False,False,False,False
PO-00080,Gamma_Co,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77.0,No,7.0,0,5.060000000000002,0.051299133910726186,False,False,False,False,False
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,0.0,No,3.0,0,12.780000000000001,0.0,False,False,False,False,False
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,0.0,Yes,6.0,0,6.039999999999999,0.0,False,False,False,False,False
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,Electronics,Cancelled,84,73.38,71.42,9.0,Yes,6.0,0,1.9599999999999937,0.10714285714285714,False,False,False,False,False
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27.0,No,15.0,0,5.049999999999997,0.10588235294117647,False,False,False,False,False
PO-00085,Gamma_Co,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58.0,Yes,16.0,0,1.129999999999999,0.05025996533795494,False,False,False,False,False
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No,8.0,0,2.539999999999999,0.1602446483180428,False,False,False,False,False
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278.0,No,10.0,0,6.07,0.1429305912596401,False,False,False,False,False
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228.0,No,15.0,0,0.7000000000000028,0.15605749486652978,False,False,False,False,False
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes,8.0,0,2.41,0.13674418604651162,False,False,False,False,False
PO-00090,Alpha_Inc,2022-09-08,2022-09-19,Packaging,Delivered,1071,101.6,93.91,25.0,Yes,11.0,1,7.689999999999998,0.02334267040149393,False,False,False,False,False
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,Packaging,Pending,1463,101.23,86.17,43.0,Yes,19.0,0,15.060000000000002,0.02939166097060834,False,False,True,False,True
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69.0,Yes,7.0,0,4.61999999999999,0.11219512195121951,False,False,False,False,False
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,0.0,Yes,18.0,0,5.460000000000001,0.0,False,False,False,False,False
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45.0,Yes,5.0,0,1.9299999999999997,0.024390243902439025,False,False,False,False,False
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32.0,No,3.0,0,10.290000000000006,0.02064516129032258,False,False,False,False,False
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,0.0,No,10.0,0,2.4800000000000004,0.0,False,False,False,False,False
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21.0,Yes,19.0,0,5.13000000000001,0.04656319290465632,False,False,False,False,False
PO-00099,Beta_Supplies,2023-12-03,2023-12-15,Office Supplies,Delivered,779,93.69,90.92,66.0,Yes,12.0,1,2.769999999999996,0.08472400513478819,False,False,False,False,False
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,MRO,Pending,1629,100.26,86.44,187.0,No,15.0,0,13.820000000000007,0.11479435236341314,False,False,True,False,True
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,Office Supplies,Delivered,211,75.69,65.4,2.0,Yes,-5.0,0,10.289999999999992,0.009478672985781991,False,False,False,False,False
PO-00102,Alpha_Inc,2022-08-23,2022-09-03,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes,11.0,1,3.009999999999991,0.00796812749003984,False,False,False,False,False
PO-00103,Gamma_Co,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69.0,Yes,16.0,0,3.230000000000004,0.0660287081339713,False,False,False,False,False
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57.0,Yes,20.0,0,9.489999999999995,0.1786833855799373,False,False,False,False,False
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58.0,Yes,14.0,0,1.4200000000000017,0.029958677685950414,False,False,False,False,False
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,MRO,Cancelled,865,14.7,13.14,135.0,No,20.0,0,1.5599999999999987,0.15606936416184972,False,False,False,False,False
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44.0,Yes,3.0,0,1.6300000000000008,0.03273809523809524,False,False,False,False,False
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,Raw Materials,Pending,505,45.42,40.37,62.0,Yes,19.0,0,5.050000000000004,0.12277227722772277,False,False,False,False,False
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151.0,No,1.0,0,12.549999999999997,0.098371335504886,False,False,False,False,False
PO-00110,Beta_Supplies,2022-11-19,2022-12-01,Office Supplies,Delivered,1800,103.8,96.27,166.0,Yes,12.0,1,7.530000000000001,0.09222222222222222,False,False,False,False,False
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,Raw Materials,Pending,1325,24.36,22.75,206.0,Yes,9.0,0,1.6099999999999994,0.15547169811320755,False,False,False,False,False
PO-00112,Gamma_Co,2023-11-03,2023-11-09,Raw Materials,Delivered,1066,70.45,65.88,56.0,No,6.0,0,4.570000000000007,0.0525328330206379,False,False,False,False,False
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,Raw Materials,Delivered,1775,47.82,45.86,180.0,Yes,15.0,0,1.9600000000000009,0.10140845070422536,False,False,False,False,False
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,Electronics,Delivered,1798,94.8,91.83,0.0,Yes,19.0,0,2.969999999999999,0.0,False,False,False,False,False
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,MRO,Delivered,769,91.86,86.55,17.0,Yes,16.0,0,5.310000000000002,0.022106631989596878,False,False,False,False,False
PO-00117,Alpha_Inc,2022-05-27,2022-06-07,Packaging,Delivered,1822,53.23,47.49,39.0,Yes,11.0,1,5.739999999999995,0.021405049396267837,False,False,False,False,False
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,Packaging,Delivered,387,49.23,45.41,61.0,Yes,14.0,0,3.8200000000000003,0.15762273901808785,False,False,False,False,False
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,MRO,Delivered,928,35.3,32.52,26.0,Yes,4.0,0,2.779999999999994,0.028017241379310345,False,False,False,False,False
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,Packaging,Partially Delivered,1126,15.68,14.97,27.0,Yes,11.0,0,0.7099999999999991,0.023978685612788632,False,False,False,False,False
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,Raw Materials,Cancelled,841,95.73,85.33,81.0,Yes,16.0,0,10.400000000000006,0.09631391200951249,False,False,False,False,False
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,Electronics,Delivered,1995,90.65,77.75,206.0,Yes,13.0,0,12.900000000000006,0.10325814536340852,False,False,False,False,False
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,Raw Materials,Delivered,266,103.97,101.44,6.0,Yes,18.0,0,2.530000000000001,0.022556390977443608,False,False,False,False,False
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,Raw Materials,Cancelled,813,109.17,107.39,14.0,Yes,3.0,0,1.7800000000000011,0.017220172201722016,False,False,False,False,False
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,Electronics,Delivered,237,64.19,59.01,7.0,Yes,11.0,0,5.18,0.029535864978902954,False,False,False,False,False
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,Office Supplies,Cancelled,429,86.73,75.09,9.0,Yes,13.0,0,11.64,0.02097902097902098,False,False,False,False,False
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,Packaging,Delivered,542,101.21,93.11,78.0,No,1.0,0,8.099999999999994,0.14391143911439114,False,False,False,False,False
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,Electronics,Delivered,1114,91.66,85.53,35.0,Yes,18.0,0,6.1299999999999955,0.03141831238779174,False,False,False,False,False
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,MRO,Delivered,1230,33.39,30.85,26.0,Yes,2.0,0,2.539999999999999,0.02113821138211382,False,False,False,False,False
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,MRO,Delivered,64,51.56,50.88,5.0,Yes,12.0,0,0.6799999999999997,0.078125,False,False,False,False,False
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,MRO,Delivered,1886,23.46,23.18,0.0,Yes,16.0,0,0.28000000000000114,0.0,False,False,False,False,False
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,Office Supplies,Delivered,114,103.53,101.54,14.0,Yes,2.0,0,1.9899999999999949,0.12280701754385964,False,False,False,False,False
PO-00133,Delta_Logistics,2022-04-04,2022-04-22,Electronics,Cancelled,1930,65.52,56.9,282.0,Yes,18.0,0,8.619999999999997,0.1461139896373057,False,False,False,False,False
PO-00134,Beta_Supplies,2022-02-18,2022-02-28,Office Supplies,Pending,1912,30.73,29.82,191.0,Yes,10.0,0,0.9100000000000001,0.09989539748953975,False,False,False,False,False
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,MRO,Delivered,570,71.51,66.47,0.0,Yes,16.0,0,5.040000000000006,0.0,False,False,False,False,False
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,Raw Materials,Delivered,1417,67.27,60.62,0.0,Yes,20.0,0,6.649999999999999,0.0,False,False,False,False,False
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,Raw Materials,Delivered,1202,46.67,44.13,21.0,No,6.0,0,2.539999999999999,0.01747088186356073,False,False,False,False,False
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,Office Supplies,Delivered,697,20.73,19.83,78.0,No,1.0,0,0.9000000000000021,0.11190817790530846,False,False,False,False,False
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,MRO,Delivered,1545,78.19,76.91,42.0,Yes,3.0,0,1.2800000000000011,0.027184466019417475,False,False,False,False,False
PO-00140,Gamma_Co,2023-03-09,2023-03-13,MRO,Partially Delivered,1136,60.81,58.25,62.0,Yes,4.0,0,2.5600000000000023,0.05457746478873239,False,False,False,False,False
PO-00141,Beta_Supplies,2023-09-03,2023-09-07,MRO,Delivered,1212,87.46,74.55,118.0,No,4.0,0,12.909999999999997,0.09735973597359736,False,False,False,False,False
PO-00142,Epsilon_Group,2022-03-07,2022-03-12,MRO,Delivered,1572,57.38,49.32,40.0,Yes,5.0,0,8.060000000000002,0.02544529262086514,False,False,False,False,False
PO-00143,Gamma_Co,2023-01-30,2023-02-09,Electronics,Delivered,642,91.9,81.49,26.0,Yes,10.0,0,10.41000000000001,0.040498442367601244,False,False,False,False,False
PO-00144,Epsilon_Group,2023-01-26,2023-02-04,Office Supplies,Delivered,441,63.25,54.12,16.0,Yes,9.0,0,9.130000000000003,0.036281179138321996,False,False,False,False,False
PO-00145,Epsilon_Group,2023-09-03,2023-09-19,Office Supplies,Delivered,1748,66.53,57.11,0.0,Yes,16.0,0,9.420000000000002,0.0,False,False,False,False,False
PO-00147,Beta_Supplies,2023-06-26,2023-07-14,Raw Materials,Delivered,338,50.25,46.28,49.0,No,18.0,0,3.969999999999999,0.14497041420118342,False,False,False,False,False
PO-00148,Gamma_Co,2022-09-15,2022-09-22,Office Supplies,Delivered,428,22.94,21.52,26.0,Yes,7.0,0,1.4200000000000017,0.06074766355140187,False,False,False,False,False
PO-00149,Beta_Supplies,2023-07-21,2023-08-02,Packaging,Delivered,1846,13.72,12.62,216.0,Yes,12.0,1,1.1000000000000014,0.11700975081256772,False,False,False,False,False
PO-00150,Epsilon_Group,2022-01-12,2022-01-17,Office Supplies,Delivered,1563,77.96,70.8,41.0,Yes,5.0,0,7.159999999999997,0.026231605886116442,False,False,False,False,False
PO-00151,Beta_Supplies,2023-11-28,2023-12-07,Office Supplies,Delivered,280,73.07,69.29,30.0,Yes,9.0,0,3.779999999999987,0.10714285714285714,False,False,False,False,False
PO-00152,Delta_Logistics,2022-04-28,2022-05-12,Raw Materials,Delivered,1067,74.47,64.16,0.0,No,14.0,0,10.310000000000002,0.0,False,False,False,False,False
PO-00153,Gamma_Co,2023-11-30,2023-12-17,Electronics,Pending,90,32.38,29.96,7.0,Yes,17.0,0,2.4200000000000017,0.07777777777777778,False,False,False,False,False
PO-00154,Gamma_Co,2023-07-04,2023-07-05,Raw Materials,Delivered,1101,24.28,22.73,59.0,No,1.0,0,1.5500000000000007,0.053587647593097185,False,False,False,False,False
PO-00155,Alpha_Inc,2022-10-01,2022-10-11,Raw Materials,Delivered,184,11.82,10.51,4.0,Yes,10.0,0,1.3100000000000005,0.021739130434782608,False,False,False,False,False
PO-00156,Epsilon_Group,2023-10-19,2023-11-07,Electronics,Delivered,250,45.92,41.02,3.0,Yes,19.0,0,4.899999999999999,0.012,False,False,False,False,False
PO-00158,Beta_Supplies,2022-04-25,2022-04-30,Electronics,Delivered,829,45.98,40.39,0.0,Yes,5.0,0,5.589999999999996,0.0,False,False,False,False,False
PO-00159,Delta_Logistics,2022-10-28,2022-11-13,Raw Materials,Delivered,979,51.59,49.69,148.0,Yes,16.0,0,1.9000000000000057,0.1511746680286006,False,False,False,False,False
